bikes_available,docks_available,is_renting,is_returning,last_updated,station_id,name,latitude,longitude
0,15,true,true,1594115085,3646,35 Ave & 10 St,40.7631548191037,-73.9398550987244
16,11,true,true,1594115085,308,St James Pl & Oliver St,40.71307916,-73.99851193
13,26,true,true,1594115085,3914,West End Ave & W 78 St,40.783786,-73.981687
9,9,true,true,1594114954,8383114e19ade35a8ef2c48942117cc3,Market St at Dolores St,37.7693053,-122.4268256
35,13,true,true,1594115085,459,W 20 St & 11 Ave,40.746745,-74.007756
4,19,true,true,1594115085,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
12,18,true,true,1594115085,3325,E 95 St & 3 Ave,40.7849032,-73.950503
24,11,true,true,1594115085,478,11 Ave & W 41 St,40.76030096,-73.99884222
16,11,true,true,1594114954,d777960e181c3911183b59171cded0a8,Mission Dolores Park,37.7614205,-122.4264353
36,10,true,true,1594115085,446,W 24 St & 7 Ave,40.74487634,-73.99529885
3,16,true,true,1594115085,3952,E 141 St & Jackson Ave,40.806896,-73.911837
10,13,true,true,1594115085,3337,Dwight St & Van Dyke St,40.673635513415,-74.0119555592537
11,12,true,true,1594114954,6230d81b26fbf3b08d04f63a436c69f9,Ashby BART Station,37.8524766,-122.2702132
6,20,true,true,1594114954,edd2cf03bfbe6ade0bd14f40ae4b5ece,Telegraph Ave at 19th St,37.8087021,-122.2699271
18,13,true,true,1594115085,432,E 7 St & Avenue A,40.72621788,-73.98379855
12,26,true,true,1594114954,906987f156c8aa7019a5afbb320d10de,3rd St at Townsend St,37.7787416115368,-122.392740827108
2,19,true,true,1594115085,3615,44 Dr & 21 St,40.748,-73.9460927
6,23,true,true,1594115085,3346,Berkeley Pl & 7 Ave,40.6751468387098,-73.9752320945263
27,12,true,true,1594115085,3288,E 88 St & 1 Ave,40.778301,-73.9488134
24,19,true,true,1594115085,3478,2 Ave & 36 St,40.6570886666849,-74.0087020397186
1,17,true,true,1594115085,3988,E 128 St & 3 Ave,40.805631,-73.934077
15,10,true,true,1594115085,3597,43 St & Broadway,40.7577284,-73.9166368
4,30,true,true,1594115085,406,Hicks St & Montague St,40.69512845,-73.99595065
23,4,true,true,1594115085,3386,1 Pl & Clinton St,40.6809591,-73.99905709
19,3,true,true,1594115085,443,Bedford Ave & S 9 St,40.70853074,-73.96408963
16,8,true,true,1594115085,3072,Leonard St & Boerum St,40.70583339,-73.94644578
1,22,true,true,1594115085,3814,E 56 St & Madison Ave,40.761573,-73.972628
1,28,true,true,1594115085,3131,E 68 St & 3 Ave,40.7671284034954,-73.9622461795807
1,29,true,true,1594115085,3944,Convent Ave & W 135 St,40.818215,-73.950988
3,22,true,true,1594115085,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681
19,12,true,true,1594114954,56f53debad9975bac0223a6866f12533,Central Ave at Fell St,37.7733108788972,-122.444292604923
21,4,true,true,1594115085,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302
8,22,true,true,1594115085,3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611
16,3,true,true,1594114954,a861792de6f7790503849a5227a1f8c6,Harrison St at 20th St,37.758862,-122.412544
23,23,true,true,1594115085,3733,Avenue C & E 18 St,40.730563,-73.973984
12,12,true,true,1594114954,1cbb10fee8b199eb76d207429ea4a910,Market St at Steuart St,37.7944974460021,-122.394838035107
4,20,true,true,1594115085,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
10,13,true,true,1594114954,d52c0adcc197c7899d056dfd1caace76,Pier 1/2 at The Embarcadero,37.7963894,-122.3945855
21,3,true,true,1594115085,389,Broadway & Berry St,40.71044554,-73.96525063
2,16,true,true,1594115085,3833,Madison St & Evergreen Ave,40.69122,-73.91693
9,14,true,true,1594114954,1c136018be28c6420a6c5239d1e17179,7th Ave at Cabrillo St,37.7751755065867,-122.465007305145
